"","x"
"RANK OF CRIME SCORE (where 1 is most deprived)",1
"RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived)",1
"RANK OF EMPLOYMENT SCORE (where 1 is most deprived)",1
"RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived)",1
"Rank of IDACI (where 1 is most deprived)",1
"Rank of IDAOPI (where 1 is most deprived)",1
"RANK OF IMD SCORE (where 1 is most deprived)",1
"RANK OF INCOME SCORE (where 1 is most deprived)",1
"RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived)",1
"Rank/Grade",1
"Rape per 1000 population 12 months to December 2009",1
"Rape per 1000 population 12 months to December 2010",1
"Rape per 1000 population 12 months to December 2011",1
"Rape per 1000 population 12 months to December 2012",1
"Rape per 1000 population 12 months to March 2010",1
"Rape per 1000 population 12 months to March 2011",1
"Rape per 1000 population 12 months to March 2012",1
"Rape per 1000 population 12 months to March 2013",1
"Rape per 1000 population 12 months to September 2009",1
"Rape per 1000 population 12 months to September 2010",1
"Rape per 1000 population 12 months to September 2011",1
"Rape per 1000 population 12 months to September 2012",1
"Rape sanction detection rate 12months to March 2010",1
"Rape sanction detection rate 12months to March 2011",1
"Rape sanction detection rate 12months to March 2012",1
"Rape sanction detection rate 12months to March 2013",1
"Rape SD Cautions 12months to March 2010",1
"Rape SD Cautions 12months to March 2011",1
"Rape SD Cautions 12months to March 2012",1
"Rape SD Cautions 12months to March 2013",1
"Rape SD Charge Summons 12months to March 2010",1
"Rape SD Charge Summons 12months to March 2011",1
"Rape SD Charge Summons 12months to March 2012",1
"Rape SD Charge Summons 12months to March 2013",1
"Rape SD Fixed Penalties 12months to March 2010",1
"Rape SD Fixed Penalties 12months to March 2011",1
"Rape SD Fixed Penalties 12months to March 2012",1
"Rape SD Fixed Penalties 12months to March 2013",1
"Rape SD TICs 12months to March 2010",1
"Rape SD TICs 12months to March 2011",1
"Rape SD TICs 12months to March 2012",1
"Rape SD TICs 12months to March 2013",1
"RATE",1
"Reason Not Disclosed On Site",1
"Recalls Model Information",1
"Recalls Number",1
"Received discharge planning (%)",1
"Received echo (%)",1
"Recent myocardial infarction",1
"Reception",1
"Recipient Country code",1
"Recipient country Name",1
"Recipient Region code",1
"Recipient Region Name",1
"RecordID",1
"Records submitted",1
"Redaction",1
"Referral Source - NULL",1
"Referral Source - Other",1
"Referral Source - Other Pain Clinic",1
"Referral Source - Specialist from other hospital",1
"Referral Source - Specialist from own hospital",1
"Referral Source- GP",1
"Referral to cardiology follow-up (%)",1
"Referral to HF liaison service (%)",1
"Reform Date
(latest estimate)",1
"refurbishment_date",1
"Refusal/Prefer Not to Say Headcount",1
"Reg_plates_and_vin",1
"REGENTS PLAZA APARTMENTS, 6",1
"Regulator area",1
"Relative frequency",1
"Remedy",1
"Report title ",1
"Reporting Organisation",1
"Reporting SCS Reference",1
"Reporting SCS/Mil post reference",1
"Reports To (inc post ref)",1
"Reports to SSG",1
"Requestor Cost Centre 1",1
"Requestor Cost Centre 2",1
"Requestor Cost Centre 3",1
"Requestor Cost Centre 4",1
"Requestor Cost Centre 5",1
"Requestor Cost Centre 6",1
"Requestor Cost Centre 7",1
"Requestor email",1
"Requestor Employee No.",1
"Requestor Location",1
"Requestor Name",1
"Requisition Creation Date",1
"Requisition Number",1
"Requisitioner Cost Centre",1
"Requisitioner email",1
"Requisitioner Employee No.",1
"Requisitioner Location",1
"Requisitioner Name",1
"Resources and workload theme score (B30-B36 average)",1
"Responsibility",1
"Revenue/Capital",1
"Review",1
"RG12 7WH",1
"Ring fence",1
"Risk adjusted mortality %",1
"Risk adjusted Mortality Rate (%)",1
"RM14 1RQ",1
"Road_wheels",1
"Robbery December 2012 ",1
"Robbery December 2012 MSG Average",1
"Robbery December 2012 MSG Average Lower Bound",1
"Robbery December 2012 MSG Average Upper Bound",1
"Robbery March 2013 ",1
"Robbery March 2013 MSG Average",1
"Robbery March 2013 MSG Average Lower Bound",1
"Robbery March 2013 MSG Average Upper Bound",1
"Robbery of business property per 1000 population 12 months to March 2010",1
"Robbery of business property per 1000 population 12 months to March 2011",1
"Robbery of business property per 1000 population 12 months to March 2012",1
"Robbery of business property per 1000 population 12 months to March 2013",1
"Robbery of business property sanction detection rate 12months to March 2010",1
"Robbery of business property sanction detection rate 12months to March 2011",1
"Robbery of business property sanction detection rate 12months to March 2012",1
"Robbery of business property sanction detection rate 12months to March 2013",1
"Robbery of business property SD Cautions 12months to March 2010",1
"Robbery of business property SD Cautions 12months to March 2011",1
"Robbery of business property SD Cautions 12months to March 2012",1
"Robbery of business property SD Cautions 12months to March 2013",1
"Robbery of business property SD Charge Summons 12months to March 2010",1
"Robbery of business property SD Charge Summons 12months to March 2011",1
"Robbery of business property SD Charge Summons 12months to March 2012",1
"Robbery of business property SD Charge Summons 12months to March 2013",1
"Robbery of business property SD Fixed Penalties 12months to March 2010",1
"Robbery of business property SD Fixed Penalties 12months to March 2011",1
"Robbery of business property SD Fixed Penalties 12months to March 2012",1
"Robbery of business property SD Fixed Penalties 12months to March 2013",1
"Robbery of business property SD TICs 12months to March 2010",1
"Robbery of business property SD TICs 12months to March 2011",1
"Robbery of business property SD TICs 12months to March 2012",1
"Robbery of business property SD TICs 12months to March 2013",1
"Robbery of personal property per 1000 population 12 months to March 2010",1
"Robbery of personal property per 1000 population 12 months to March 2011",1
"Robbery of personal property per 1000 population 12 months to March 2012",1
"Robbery of personal property per 1000 population 12 months to March 2013",1
"Robbery of personal property sanction detection rate 12months to March 2010",1
"Robbery of personal property sanction detection rate 12months to March 2011",1
"Robbery of personal property sanction detection rate 12months to March 2012",1
"Robbery of personal property sanction detection rate 12months to March 2013",1
"Robbery of personal property SD Cautions 12months to March 2010",1
"Robbery of personal property SD Cautions 12months to March 2011",1
"Robbery of personal property SD Cautions 12months to March 2012",1
"Robbery of personal property SD Cautions 12months to March 2013",1
"Robbery of personal property SD Charge Summons 12months to March 2010",1
"Robbery of personal property SD Charge Summons 12months to March 2011",1
"Robbery of personal property SD Charge Summons 12months to March 2012",1
"Robbery of personal property SD Charge Summons 12months to March 2013",1
"Robbery of personal property SD Fixed Penalties 12months to March 2010",1
"Robbery of personal property SD Fixed Penalties 12months to March 2011",1
"Robbery of personal property SD Fixed Penalties 12months to March 2012",1
"Robbery of personal property SD Fixed Penalties 12months to March 2013",1
"Robbery of personal property SD TICs 12months to March 2010",1
"Robbery of personal property SD TICs 12months to March 2011",1
"Robbery of personal property SD TICs 12months to March 2012",1
"Robbery of personal property SD TICs 12months to March 2013",1
"Robbery per 1000 population 12 months to March 2010",1
"Robbery per 1000 population 12 months to March 2011",1
"Robbery per 1000 population 12 months to March 2012",1
"Robbery per 1000 population 12 months to March 2013",1
"Robbery sanction detection rate 12months to March 2010",1
"Robbery sanction detection rate 12months to March 2011",1
"Robbery sanction detection rate 12months to March 2012",1
"Robbery sanction detection rate 12months to March 2013",1
"Robbery SD Cautions 12months to March 2010",1
"Robbery SD Cautions 12months to March 2011",1
"Robbery SD Cautions 12months to March 2012",1
"Robbery SD Cautions 12months to March 2013",1
"Robbery SD Charge Summons 12months to March 2010",1
"Robbery SD Charge Summons 12months to March 2011",1
"Robbery SD Charge Summons 12months to March 2012",1
"Robbery SD Charge Summons 12months to March 2013",1
"Robbery SD Fixed Penalties 12months to March 2010",1
"Robbery SD Fixed Penalties 12months to March 2011",1
"Robbery SD Fixed Penalties 12months to March 2012",1
"Robbery SD Fixed Penalties 12months to March 2013",1
"Robbery SD TICs 12months to March 2010",1
"Robbery SD TICs 12months to March 2011",1
"Robbery SD TICs 12months to March 2012",1
"Robbery SD TICs 12months to March 2013",1
"Robbery September 2012 ",1
"Robbery September 2012 MSG Average",1
"Robbery September 2012 MSG Average Lower Bound",1
"Robbery September 2012 MSG Average Upper Bound",1
"Robert Devereux (Permanent Secretary)",1
"Role",1
"Route",1
"Row has errors?",1
"Row Labels",1
"SA type",1
"Salary £'000",1
"Salary cost of Direcorate",1
"Salary Cost of Report",1
"Salary Cost of Reports ( To the nearest £100,000.00)",1
"Salary Costs of Non SCS Reports",1
"Salary Costs of Reports £",1
"Salary group",1
"SalesVolume",1
"Salvage",1
"Satisfactory",1
"satisfactory,excellent",1
"Satisfactory,Good",1
"Satisfied",1
"Savings Area",1
"Savings Option",1
"SBI",1
"SBI Activity",1
"SCH_DELIVERY_NO",1
"SCH_NAME",1
"SCH_TYPE",1
"School type",1
"SCHOOL_NAME",1
"SCS on standard contracts (end of year NCPRP)",1
"Seat_belts",1
"Section",1
"Sector code",1
"SectorName",1
"Segment Alias",1
"Segment Grandparent",1
"Senior Official/NED",1
"Sensitive area name",1
"SEO/SIO",1
"Sep-08",1
"Sep-09",1
"Sep-10",1
"Sep-11",1
"September 2010 MTH",1
"Service availability",1
"Service Code",1
"Service Division Code",1
"Service Name",1
"Service Type",1
"Service URL",1
"ServiceDivisionCode",1
"Services",1
"Severe/very severe pain - Adjusted % ",1
"Severe/very severe pain - Number of patients answering question ",1
"Severe/very severe pain - Observed % ",1
"Sex female",1
"Sex male",1
"Sexual Offences",1
"Sexual offences March 2013 ",1
"Sexual offences March 2013 MSG Average",1
"Sexual offences March 2013 MSG Average Lower Bound",1
"Sexual offences March 2013 MSG Average Upper Bound",1
"Sexual offences per 1000 population 12 months to March 2010",1
"Sexual offences per 1000 population 12 months to March 2011",1
"Sexual offences per 1000 population 12 months to March 2012",1
"Sexual offences per 1000 population 12 months to March 2013",1
"Sexual offences sanction detection rate 12months to March 2010",1
"Sexual offences sanction detection rate 12months to March 2011",1
"Sexual offences sanction detection rate 12months to March 2012",1
"Sexual offences sanction detection rate 12months to March 2013",1
"Sexual offences SD Cautions 12months to March 2010",1
"Sexual offences SD Cautions 12months to March 2011",1
"Sexual offences SD Cautions 12months to March 2012",1
"Sexual offences SD Cautions 12months to March 2013",1
"Sexual offences SD Charge Summons 12months to March 2010",1
"Sexual offences SD Charge Summons 12months to March 2011",1
"Sexual offences SD Charge Summons 12months to March 2012",1
"Sexual offences SD Charge Summons 12months to March 2013",1
"Sexual offences SD Fixed Penalties 12months to March 2010",1
"Sexual offences SD Fixed Penalties 12months to March 2011",1
"Sexual offences SD Fixed Penalties 12months to March 2012",1
"Sexual offences SD Fixed Penalties 12months to March 2013",1
"Sexual offences SD TICs 12months to March 2010",1
"Sexual offences SD TICs 12months to March 2011",1
"Sexual offences SD TICs 12months to March 2012",1
"Sexual offences SD TICs 12months to March 2013",1
"SHA",1
"Shared WorkingÜ",1
"Sheltered Location",1
"Shoplifting December 2012 ",1
"Shoplifting December 2012 MSG Average",1
"Shoplifting December 2012 MSG Average Lower Bound",1
"Shoplifting December 2012 MSG Average Upper Bound",1
"Shoplifting March 2013 ",1
"Shoplifting March 2013 MSG Average",1
"Shoplifting March 2013 MSG Average Lower Bound",1
"Shoplifting March 2013 MSG Average Upper Bound",1
"Shoplifting per 1000 population 12 months to December 2009",1
"Shoplifting per 1000 population 12 months to December 2010",1
"Shoplifting per 1000 population 12 months to December 2011",1
"Shoplifting per 1000 population 12 months to December 2012",1
"Shoplifting per 1000 population 12 months to March 2010",1
"Shoplifting per 1000 population 12 months to March 2011",1
"Shoplifting per 1000 population 12 months to March 2012",1
"Shoplifting per 1000 population 12 months to March 2013",1
"Shoplifting per 1000 population 12 months to September 2009",1
"Shoplifting per 1000 population 12 months to September 2010",1
"Shoplifting per 1000 population 12 months to September 2011",1
"Shoplifting per 1000 population 12 months to September 2012",1
"Shoplifting sanction detection rate 12months to March 2010",1
"Shoplifting sanction detection rate 12months to March 2011",1
"Shoplifting sanction detection rate 12months to March 2012",1
"Shoplifting sanction detection rate 12months to March 2013",1
"Shoplifting SD Cautions 12months to March 2010",1
"Shoplifting SD Cautions 12months to March 2011",1
"Shoplifting SD Cautions 12months to March 2012",1
"Shoplifting SD Cautions 12months to March 2013",1
"Shoplifting SD Charge Summons 12months to March 2010",1
"Shoplifting SD Charge Summons 12months to March 2011",1
"Shoplifting SD Charge Summons 12months to March 2012",1
"Shoplifting SD Charge Summons 12months to March 2013",1
"Shoplifting SD Fixed Penalties 12months to March 2010",1
"Shoplifting SD Fixed Penalties 12months to March 2011",1
"Shoplifting SD Fixed Penalties 12months to March 2012",1
"Shoplifting SD Fixed Penalties 12months to March 2013",1
"Shoplifting SD TICs 12months to March 2010",1
"Shoplifting SD TICs 12months to March 2011",1
"Shoplifting SD TICs 12months to March 2012",1
"Shoplifting SD TICs 12months to March 2013",1
"Shoplifting September 2012 ",1
"Shoplifting September 2012 MSG Average",1
"Shoplifting September 2012 MSG Average Lower Bound",1
"Shoplifting September 2012 MSG Average Upper Bound",1
"Short description",1
"Short Summary of Report ",1
"Single-A automated accessibility",1
"Sites converged",1
"Skills Sub-domain Rank (where 1 is most deprived)",1
"Skills Sub-domain Score",1
"SM1 4LZ",1
"SN11 9HY",1
"SNAC",1
"SOA",1
"SOA Code",1
"SoildFuelBiomas",1
"SolidFuelFossil",1
"SOMERSET",1
"Source Of Investment",1
"SOUTH HEREFORDSHIRE",1
"SOUTH NORFOLK",1
"SOUTH SOMERSET",1
"Special collection or departmental file",1
"Special Responsibility",1
"Special Responsibility Allowance £",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Air",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Dogs",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Firearms - tactical",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Firearms/ explosives",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Marine",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Mounted",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Surveillance unit",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Technical support unit",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Total",1
"Specialist Functions staff FTE per 1,000 population_As at 31/03/2010_Underwater",1
"Species on critically endangered list, 1996/98",1
"Species on critically endangered list, 2006",1
"Species on critically endangered list, 2008",1
"Species on critically endangered list, 2012",1
"Species on endangered list, 1996/98",1
"Species on endangered list, 2006",1
"Species on endangered list, 2008",1
"Species on endangered list, 2012",1
"Species on vulnerable list, 1996/98",1
"Species on vulnerable list, 2006",1
"Species on vulnerable list, 2008",1
"Species on vulnerable list, 2012",1
"Spend less tax",1
"Spending Control",1
"Sqm Per FTE",1
"SRA",1
"Staff costs",1
"Start NGR(s)",1
"START_AGE",1
"Station_Name",1
"Statistic",1
"Stay",1
"Steering",1
"Stop Name",1
"Strategy and planning costs",1
"STRATFORD-ON-AVON",1
"Strengthened capacity result %",1
"Strengthened capacity score",1
"Strengthened capacity target %",1
"Sub Account",1
"Sub Total",1
"Sub-folder Title",1
"SubjectName",1
"Sum of  Transaction Amount",1
"SUPPID",1
"Suppler Type",1
"Supplicer",1
"Supplier Credit Terms (Calendar Days)",1
"Supplier Name Published",1
"Supplier OBS Type",1
"SupplierAccountNumber",1
"SupplierNameEdit",1
"SupplierNames",1
"SupplierNo",1
"Surgery on thoracic aorta",1
"Suspension",1
"Sustainable fisheries: fish stock harvested within safe limits ",1
"SUTTON",1
"TA19 9DD",1
"Table 1: Comparison of information from ILR (2011/12) and weighted sample,,,,,,,",1
"Tags",1
"Taxable
Subsistence",1
"Taxi / Car",1
"Taxonomic group",1
"Team Function",1
"Team/Unit",1
"TEL AVIV: Embassy Upgrade ",1
"TEL_NO",1
"Telephone",1
"Telephone Number",1
"Tems & Conditions",1
"Tenure",1
"Tenure Type Decription",1
"tenure_type_desc",1
"Terms Date Calculation Basis",1
"Testing and evaluation costs",1
"text_phone",1
"Text_Value",1
"Thames Estuary 2100 (TE2100) Plan",1
"the",1
"The lower quartile related to the median number of days between referral and operation",1
"The lower quartile related to the median number of days between symptom and operation",1
"The lower quartile related to the median number of days between symptom and referral",1
"The upper quartile related to the median number of days between referral and operation",1
"The upper quartile related to the median number of days between symptom and operation",1
"The upper quartile related to the median number of days between symptom and referral",1
"Theft from the person March 2013 ",1
"Theft from the person March 2013 MSG Average",1
"Theft from the person March 2013 MSG Average Lower Bound",1
"Theft from the person March 2013 MSG Average Upper Bound",1
"Theft from the person per 1000 population 12 months to March 2010",1
"Theft from the person per 1000 population 12 months to March 2011",1
"Theft from the person per 1000 population 12 months to March 2012",1
"Theft from the person per 1000 population 12 months to March 2013",1
"Theft from the person sanction detection rate 12months to March 2010",1
"Theft from the person sanction detection rate 12months to March 2011",1
"Theft from the person sanction detection rate 12months to March 2012",1
"Theft from the person sanction detection rate 12months to March 2013",1
"Theft from the person SD Cautions 12months to March 2010",1
"Theft from the person SD Cautions 12months to March 2011",1
"Theft from the person SD Cautions 12months to March 2012",1
"Theft from the person SD Cautions 12months to March 2013",1
"Theft from the person SD Charge Summons 12months to March 2010",1
"Theft from the person SD Charge Summons 12months to March 2011",1
"Theft from the person SD Charge Summons 12months to March 2012",1
"Theft from the person SD Charge Summons 12months to March 2013",1
"Theft from the person SD Fixed Penalties 12months to March 2010",1
"Theft from the person SD Fixed Penalties 12months to March 2011",1
"Theft from the person SD Fixed Penalties 12months to March 2012",1
"Theft from the person SD Fixed Penalties 12months to March 2013",1
"Theft from the person SD TICs 12months to March 2010",1
"Theft from the person SD TICs 12months to March 2011",1
"Theft from the person SD TICs 12months to March 2012",1
"Theft from the person SD TICs 12months to March 2013",1
"Theft offences March 2013 ",1
"Theft offences March 2013 MSG Average",1
"Theft offences March 2013 MSG Average Lower Bound",1
"Theft offences March 2013 MSG Average Upper Bound",1
"Theft offences per 1000 population 12 months to March 2010",1
"Theft offences per 1000 population 12 months to March 2011",1
"Theft offences per 1000 population 12 months to March 2012",1
"Theft offences per 1000 population 12 months to March 2013",1
"Theft offences sanction detection rate 12months to March 2010",1
"Theft offences sanction detection rate 12months to March 2011",1
"Theft offences sanction detection rate 12months to March 2012",1
"Theft offences sanction detection rate 12months to March 2013",1
"Theft offences SD Cautions 12months to March 2010",1
"Theft offences SD Cautions 12months to March 2011",1
"Theft offences SD Cautions 12months to March 2012",1
"Theft offences SD Cautions 12months to March 2013",1
"Theft offences SD Charge Summons 12months to March 2010",1
"Theft offences SD Charge Summons 12months to March 2011",1
"Theft offences SD Charge Summons 12months to March 2012",1
"Theft offences SD Charge Summons 12months to March 2013",1
"Theft offences SD Fixed Penalties 12months to March 2010",1
"Theft offences SD Fixed Penalties 12months to March 2011",1
"Theft offences SD Fixed Penalties 12months to March 2012",1
"Theft offences SD Fixed Penalties 12months to March 2013",1
"Theft offences SD TICs 12months to March 2010",1
"Theft offences SD TICs 12months to March 2011",1
"Theft offences SD TICs 12months to March 2012",1
"Theft offences SD TICs 12months to March 2013",1
"Themes (Annex I, II, III) related to the spatial data service",1
"Thh Ref 1",1
"Ticket class description",1
"Ticket departure date",1
"Ticket_class_description",1
"ToPRO",1
"Toptal Value",1
"Total (FY 2005-FY 2013)",1
"Total £",1
"Total Cost ?",1
"Total Cost including travel and accommodation of Minister only in £",1
"Total datasets",1
"Total declared Headcount",1
"Total Electricity (kwh)",1
"Total Energy Consumption(kwh)",1
"Total Number of staff that are Undeclared",1
"Total Number of staff that have declared",1
"Total Numbers on Roll",1
"Total of known staff",1
"Total of Non-disclosed Staff ",1
"Total Pay (?)",1
"Total Pay Ceiling (£)",1
"Total Pay Floor (£)",1
"Total PCI Procedures",1
"Total Property Cost by NIA",1
"Total Property Cost per FTE",1
"Total Property Cost per Occupied NIA",1
"Total Property Costs",1
"Total Value (excluding VAT)",1
"Total Value incl. co-investment",1
"Total Waste (tonnes)",1
"Total Water Consumption (m3)",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Business support",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Community",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Criminal justice",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Custody",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Dealing with the public",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Forensics",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Intelligence",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Investigation",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Local Policing",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_National Functions",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Not available for duty",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Operational support",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Other",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Roads policing",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Specialist functions",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Total",1
"Total workforce by function FTE per 1,000 population_Police Officers + Police Staff + PCSOs (as at 31/03/2010)_Training",1
"Trafficking of drugs per 1000 population 12 months to March 2010",1
"Trafficking of drugs per 1000 population 12 months to March 2011",1
"Trafficking of drugs per 1000 population 12 months to March 2012",1
"Trafficking of drugs per 1000 population 12 months to March 2013",1
"Trafficking of drugs sanction detection rate 12months to March 2010",1
"Trafficking of drugs sanction detection rate 12months to March 2011",1
"Trafficking of drugs sanction detection rate 12months to March 2012",1
"Trafficking of drugs sanction detection rate 12months to March 2013",1
"Trafficking of drugs SD Cautions 12months to March 2010",1
"Trafficking of drugs SD Cautions 12months to March 2011",1
"Trafficking of drugs SD Cautions 12months to March 2012",1
"Trafficking of drugs SD Cautions 12months to March 2013",1
"Trafficking of drugs SD Charge Summons 12months to March 2010",1
"Trafficking of drugs SD Charge Summons 12months to March 2011",1
"Trafficking of drugs SD Charge Summons 12months to March 2012",1
"Trafficking of drugs SD Charge Summons 12months to March 2013",1
"Trafficking of drugs SD Fixed Penalties 12months to March 2010",1
"Trafficking of drugs SD Fixed Penalties 12months to March 2011",1
"Trafficking of drugs SD Fixed Penalties 12months to March 2012",1
"Trafficking of drugs SD Fixed Penalties 12months to March 2013",1
"Trafficking of drugs SD TICs 12months to March 2010",1
"Trafficking of drugs SD TICs 12months to March 2011",1
"Trafficking of drugs SD TICs 12months to March 2012",1
"Trafficking of drugs SD TICs 12months to March 2013",1
"Tranaction number",1
"Trans Line Amt",1
"Trans Post Date",1
"trans_amnt",1
"Transaction Value (GBP)",1
"Transaction value date",1
"Transactions for value",1
"Transport_Manager_First_Name",1
"Transport_Manager_Surname",1
"Trasnsaction Number",1
"TRAVEL",1
"Travelling & Subsistence",1
"Treatment - Advice",1
"Treatment - Complementary Therapy",1
"Treatment - Further Investigation",1
"Treatment - Injections",1
"Treatment - Medication",1
"Treatment - Neuromodulation",1
"Treatment - NULL",1
"Treatment - Physiotherapy",1
"Treatment - Psychology",1
"TreatyAKA",1
"TreatyNum",1
"TreatyNumPart",1
"TreatyNumRef",1
"TreatyTypeName",1
"Tricuspid valve",1
"Trip Type",1
"Trust Code",1
"Two-page visits Apr-10",1
"Two-page visits Aug-10",1
"Two-page visits Dec-10",1
"Two-page visits Feb-11",1
"Two-page visits Jan-11",1
"Two-page visits Jul-10",1
"Two-page visits Jun-10",1
"Two-page visits Mar-11",1
"Two-page visits May-10",1
"Two-page visits Nov-10",1
"Two-page visits Oct-10",1
"Two-page visits Sep-10",1
"TXN Type",1
"Type of Body",1
"Type Of Organisation Invested In",1
"Type of Report ",1
"type(T);Expense",1
"Tyres",1
"UKERP",1
"Unique ID",1
"Unique reference identifier",1
"Unique reference identifier of SCS post to whom these staff report",1
"Unique Reporting Identifier",1
"Unique users Apr-10",1
"Unique users Aug-10",1
"Unique users Dec-10",1
"Unique Users Feb-11",1
"Unique users Jan-11",1
"Unique users Jul-10",1
"Unique users Jun-10",1
"Unique Users Mar-11",1
"Unique users May-10",1
"Unique users Nov-10",1
"Unique users Oct-10",1
"Unique users Sep-10",1
"United Kingdom Atomic Energy Authority",1
"Unknown (FTE)",1
"Unknown (headcount)",1
"Unstable angina",1
"Untied aid result %",1
"Untied aid score",1
"Untied aid target %",1
"UPMINSTER",1
"Upper age",1
"UPRN",1
"Urgent",1
"URL of the network service",1
"URL redirection",1
"Use Internet about once a fortnight",1
"Use Internet about once a month",1
"Use Internet about once a week",1
"Use Internet don't know",1
"Use Internet every day",1
"Use Internet every two or three days",1
"Use Internet less often",1
"Use of country PFM result %",1
"Use of country PFM score",1
"Use of country PFM target %",1
"User testing accessibility",1
"USRN",1
"Vacant Post?",1
"Vacant Space Desc",1
"Vacant Space Status",1
"VacantNIA",1
"Valid as number",1
"Valid CSS",1
"Valid HTML",1
"Variance (%)",1
"Vehicle Crime December 2012 ",1
"Vehicle Crime December 2012 MSG Average",1
"Vehicle Crime December 2012 MSG Average Lower Bound",1
"Vehicle Crime December 2012 MSG Average Upper Bound",1
"Vehicle crime per 1000 population 12 months to December 2009",1
"Vehicle crime per 1000 population 12 months to December 2010",1
"Vehicle crime per 1000 population 12 months to December 2011",1
"Vehicle crime per 1000 population 12 months to December 2012",1
"Vehicle crime per 1000 population 12 months to September 2009",1
"Vehicle crime per 1000 population 12 months to September 2010",1
"Vehicle crime per 1000 population 12 months to September 2011",1
"Vehicle crime per 1000 population 12 months to September 2012",1
"Vehicle Crime September 2012 ",1
"Vehicle Crime September 2012 MSG Average",1
"Vehicle Crime September 2012 MSG Average Lower Bound",1
"Vehicle Crime September 2012 MSG Average Upper Bound",1
"Vehicle Mileage
reimbursed",1
"Vehicle Numbers",1
"Vehicle offences March 2013 ",1
"Vehicle offences March 2013 MSG Average",1
"Vehicle offences March 2013 MSG Average Lower Bound",1
"Vehicle offences March 2013 MSG Average Upper Bound",1
"Vehicle Offences per 1000 population 12 months to March 2010",1
"Vehicle Offences per 1000 population 12 months to March 2011",1
"Vehicle Offences per 1000 population 12 months to March 2012",1
"Vehicle Offences per 1000 population 12 months to March 2013",1
"Vehicle Offences sanction detection rate 12months to March 2010",1
"Vehicle Offences sanction detection rate 12months to March 2011",1
"Vehicle Offences sanction detection rate 12months to March 2012",1
"Vehicle Offences sanction detection rate 12months to March 2013",1
"Vehicle Offences SD Cautions 12months to March 2010",1
"Vehicle Offences SD Cautions 12months to March 2011",1
"Vehicle Offences SD Cautions 12months to March 2012",1
"Vehicle Offences SD Cautions 12months to March 2013",1
"Vehicle Offences SD Charge Summons 12months to March 2010",1
"Vehicle Offences SD Charge Summons 12months to March 2011",1
"Vehicle Offences SD Charge Summons 12months to March 2012",1
"Vehicle Offences SD Charge Summons 12months to March 2013",1
"Vehicle Offences SD Fixed Penalties 12months to March 2010",1
"Vehicle Offences SD Fixed Penalties 12months to March 2011",1
"Vehicle Offences SD Fixed Penalties 12months to March 2012",1
"Vehicle Offences SD Fixed Penalties 12months to March 2013",1
"Vehicle Offences SD TICs 12months to March 2010",1
"Vehicle Offences SD TICs 12months to March 2011",1
"Vehicle Offences SD TICs 12months to March 2012",1
"Vehicle Offences SD TICs 12months to March 2013",1
"VehicleID",1
"Vendor Classification",1
"Vendor Site",1
"VERIFICATION
STAGE",1
"Very dissatisfied",1
"Very good accuracy",1
"Very good design",1
"Very good ease of finding",1
"Very good ease of use",1
"Very good editorial",1
"Very good search",1
